행정동,도로명주소,지번주소,데이터기준일자,latitude,longitude
목2동,서울특별시 양천구 목동중앙본로 28길57,서울특별시 양천구 목2동 544-17,2023-04-20,37.5432517695336,126.87355924671
목2동,서울특별시 양천구 목동중앙본로 28길45,서울특별시 양천구 목2동 545-25,2023-04-20,37.5432363271937,126.872855110309
목2동,서울특별시 양천구 목동중앙본로 28길35,서울특별시 양천구 목2동 545-22,2023-04-20,37.5433779476188,126.872338656514
목2동,서울특별시 양천구 목동중앙본로 28길32,서울특별시 양천구 목2동 557,2023-04-20,,
목2동,서울특별시 양천구 목동중앙본로 28길25-5,서울특별시 양천구 목2동 546-20,2023-04-20,37.5437684207109,126.871821322091
목2동,서울특별시 양천구 목동중앙본로 28길25-10,서울특별시 양천구 목2동 545-47,2023-04-20,37.5438322754374,126.872129675273
목2동,서울특별시 양천구 목동중앙본로 30가길32,서울특별시 양천구 목2동 529-3,2023-04-20,37.5454755787372,126.871854270323
목2동,서울특별시 양천구 목동중앙본로 30가길32,서울특별시 양천구 목2동 529-3,2023-04-20,37.5454755787372,126.871854270323
목2동,서울특별시 양천구 목동중앙본로 30가길54,서울특별시 양천구 목2동 528-7,2023-04-20,,
목2동,서울특별시 양천구 목동중앙본로 30길50,서울특별시 양천구 목2동 534-10,2023-04-20,37.5448455549707,126.872812206514
목2동,서울특별시 양천구 목동중앙본로 28길37-8,서울특별시 양천구 목2동 545-29,2023-04-20,37.5435878089402,126.872773381012
목2동,서울특별시 양천구 목동중앙북로 14길 64,서울특별시 양천구 목2동 545-27,2023-04-20,37.5433981787092,126.872884934693
목2동,서울특별시 양천구 목동중앙북로 14길 56,서울특별시 양천구 목2동 545-33,2023-04-20,37.5438656294711,126.872980323431
목2동,서울특별시 양천구 목동중앙북로 14길 41,서울특별시 양천구 목2동 535-30,2023-04-20,37.5443890414426,126.873336104897
목2동,서울특별시 양천구 목동중앙북로 16길 16,,2023-04-20,37.545558853494,126.873630826806
목2동,서울특별시 양천구 목동중앙북로 16길 45,서울특별시 양천구 목2동 536-8,2023-04-20,37.544200377603,126.874099323757
목2동,서울특별시 양천구 목동중앙북로 16길 48 ,서울특별시 양천구 목2동 543-4,2023-04-20,,
목2동,서울특별시 양천구 목동중앙북로16가길 43,서울특별시 양천구 목2동 539-11,2023-04-20,37.5437396905404,126.875880601664
목2동,서울특별시 양천구 목동중앙북로 102-10,서울특별시 양천구 목2동 526-14,2023-04-20,37.5457647793413,126.874350960311
목2동,서울특별시 양천구 목동중앙북로 18길 25,서울특별시 양천구 목2동 524-7,2023-04-20,37.5451453931237,126.875248208971
목2동,서울특별시 양천구 목동중앙북로 18길 33,서울특별시 양천구 목2동 538-27,2023-04-20,37.5447612517028,126.875290264606
목2동,서울특별시 양천구 목동중앙북로 24길 64,서울특별시 양천구 목2동 538-18,2023-04-20,37.5443945653285,126.8759938041
목2동,서울특별시 양천구 목동중앙북로 20길 26,서울특별시 양천구 목2동 524-16,2023-04-20,37.5451252266542,126.875690462803
목2동,서울특별시 양천구 목동중앙북로 20길 17,서울특별시 양천구 목2동 523-50,2023-04-20,37.5454258656734,126.875924427255
목2동,서울특별시 양천구 목동중앙북로 120-12,서울특별시 양천구 목2동 523-7,2023-04-20,37.5458358789645,126.876152215234
목2동,서울특별시 양천구 목동중앙북로 22길 15,서울특별시 양천구 목2동 522-1,2023-04-20,37.5457307995476,126.87681934586
목2동,서울특별시 양천구 목동중앙북로24길 36,서울특별시 양천구 목2동 522-22,2023-04-20,37.5453621539127,126.87712004757
목2동,서울특별시 양천구 목동중앙북로24길 11-21,서울특별시 양천구 목2동 520-7,2023-04-20,37.5460716323198,126.879247292839
목2동,서울특별시 양천구 목동중앙북로24길 11-15,서울특별시 양천구 목2동 520-4,2023-04-20,37.5460174056341,126.878908468996
목2동,서울특별시 양천구 목동중앙북로24길 1-31,서울특별시 양천구 목2동 517-21,2023-04-20,37.5462021765463,126.879766823004
목2동,서울특별시 양천구 목동중앙로13나길20,서울특별시 양천구 목2동 520-11,2023-04-20,37.5458758526928,126.880050131006
